Timestamp,Increment,KalAngleX1,KalAngleY1,KalAngleZ1,KalAngleX2,KalAngleY2,KalAngleZ2
2024-08-11 06:14:21.908,0.0,0,0,0,0,0,0
2024-08-11 06:14:22.895,7.2,0,0,0,0,0,0
2024-08-11 06:14:22.903,14.4,0,0,0,0,0,0
2024-08-11 06:14:22.911,21.6,0.0009950509347523035,0.00011458382891781711,-0.0013890991936495593,-0.0006810709417659155,-0.001720668931526053,-0.0035043604850152456
2024-08-11 06:14:22.927,28.8,0.0009962371230883289,0.00011489598637215784,-0.0013883628561735355,-0.0006852085640579879,-0.0017391981655436022,-0.003522600807094237
2024-08-11 06:14:22.942,36.0,0.0010765762536504284,0.00019450589907457757,-0.001309824089446762,-0.0006865756220673183,-0.0017464871803252937,-0.0035300079452378497
2024-08-11 06:14:22.958,43.2,0.0009995389478438617,0.00011744899212462793,-0.001386425759561752,-0.0006872115416373913,-0.0016740275658918829,-0.0034577775842615337
2024-08-11 06:14:22.982,50.4,0.001074052865943022,0.00019229791658980592,-0.0013112936720728109,-0.000688465858919291,-0.0017534536360597705,-0.0035361590684159345
2024-08-11 06:14:23.002,57.6,0.0009982055469161684,0.00011641778238675646,-0.0013872063657098099,-0.0006890155114958134,-0.0017551865326851123,-0.003537558058522893
2024-08-11 06:14:23.034,64.8,0.0009972349538408963,0.00011578530778053584,-0.001387781515815637,-0.0006893380831632194,-0.0016798236095092688,-0.003462046743107115
2024-08-11 06:14:23.050,72.0,0.0010723684409755649,0.0001910628506470015,-0.00131228742075566,-0.0006894295046866905,-0.0017576318092469444,-0.003540057565748132
2024-08-11 06:14:23.065,79.2,0.000995520184611875,0.00011440839559727551,-0.0013887891695515177,-0.0006892336244721281,-0.0017583014621037828,-0.0035412009704265225
2024-08-11 06:14:23.084,86.4,0.0010725533232830923,0.00019128161391863008,-0.0013121825393527565,-0.0006901295246998997,-0.0017602352188241968,-0.0035423238579870256
2024-08-11 06:14:23.104,93.60000000000001,0.0010756832081748897,0.00019351660751260307,-0.0013103374290083804,-0.0006900049502381776,-0.0017601014399970286,-0.003542339752868087
2024-08-11 06:14:23.134,100.8,0.0009996979977774803,0.00011767117661394739,-0.0013863358342429976,-0.0006896454954859886,-0.0017595834259485222,-0.003542217818299936
2024-08-11 06:14:23.152,108.0,0.0010008575013089693,0.00011853445413208068,-0.0013856575659711968,-0.0006893464561283935,-0.0017593481422514949,-0.0035423650735845738
2024-08-11 06:14:23.171,115.2,0.001001183733074181,0.00011857055213074122,-0.0013854627981230584,-0.0006896546438001014,-0.0016829029598321654,-0.0034654926784574323
2024-08-11 06:14:23.190,122.4,0.0009998554505957396,0.00011756187402048941,-0.0013862368952692015,-0.000689335774579883,-0.001682411203137816,-0.003465342436643492
2024-08-11 06:14:23.217,129.6,0.0009985668814060922,0.00011604063123258788,-0.0013869695976057085,-0.0006891222955836191,-0.001758427123257357,-0.0035415269834678455
2024-08-11 06:14:23.240,136.8,0.001074462093941547,0.00019216170626804637,-0.0013110352043217916,-0.0006896427953049075,-0.0016822551438507622,-0.003464686906932302
2024-08-11 06:14:23.258,144.0,0.0009985668814060922,0.0001161718995469792,-0.001386974603566801,-0.0006899487270416308,-0.0016828253147381281,-0.0034649564757324764
2024-08-11 06:14:23.281,151.20000000000002,0.0010742316609986722,0.0001923439909171207,-0.0013111848912944844,-0.0006898709866746046,-0.0017594716314875375,-0.0035417396620664766
2024-08-11 06:14:23.298,158.4,0.001073998963928085,0.00019248283491573367,-0.0013113352264136327,-0.0006898059922480931,-0.001758795718984183,-0.0035409778788315096
2024-08-11 06:14:23.320,165.6,0.0010743252410394687,0.00019257893922012344,-0.0013111368465839614,-0.0006899196264218458,-0.0016829607179033933,-0.0034651716350337456
2024-08-11 06:14:23.342,172.8,0.0009989625677142974,0.00011680713858669466,-0.0013867559580475713,-0.0006897287247835122,-0.001682900761026246,-0.0034653795455783848
2024-08-11 06:14:23.385,180.0,0.0009978279269677822,0.00011599559362804324,-0.0013874222557700758,-0.0006891618962692446,-0.0016820577752272392,-0.0034651517029506695
2024-08-11 06:14:23.405,187.20000000000002,0.0010746286084302814,0.0001929225079826053,-0.0013109632010563158,-0.0006895216704456541,-0.0016824910660316785,-0.0034651670527097774
2024-08-11 06:14:23.457,194.4,0.0009983388931155785,0.00011640533823976387,-0.001387123629767924,-0.0006893199057807697,-0.0016817946477347189,-0.0034645813856738275
2024-08-11 06:14:23.475,201.6,0.0010735097195446724,0.0001918486676823494,-0.0013116111530516324,-0.000689456334961388,-0.00168193219260545,-0.0034645534817116432
2024-08-11 06:14:23.500,208.8,0.0009976885228791725,0.00011623129169391865,-0.001387518994668448,-0.0006891289993647323,-0.0016816189148993357,-0.0034646417734169183
2024-08-11 06:14:23.585,216.0,0.0009958099112998542,0.00011484637553326555,-0.0013886302841960244,-0.0006888677276528489,-0.0017579190903508435,-0.0035412593196916357
2024-08-11 06:14:23.607,223.20000000000002,0.0009952358270952362,0.00011400231870279374,-0.0013889458344262552,-0.0006898584091137299,-0.0016833808810783272,-0.003465796323300383
2024-08-11 06:14:23.636,230.4,0.0010718485695480557,0.00019057205388945796,-0.001312588788698078,-0.0006896902405590878,-0.0017591488546600856,-0.0035415987339595463
2024-08-11 06:14:23.667,237.6,0.0009942943847269254,0.00011333985549410032,-0.0013895054641155252,-0.0006893473888669804,-0.001758516060406636,-0.0035413046449485897
2024-08-11 06:14:23.721,244.8,0.000995415682861199,0.00011438365708218469,-0.0013888541444181353,-0.0006899681755297526,-0.0016828514114681883,-0.003464960703887634
2024-08-11 06:14:23.778,252.0,0.0009964756234701864,0.0001150353120577105,-0.0013882201350600214,-0.0006899908667662216,-0.0017588241780187358,-0.0035407394951972636
2024-08-11 06:14:23.804,259.2,0.0009965949267646509,0.00011498511641864356,-0.0013881426999576515,-0.0006897673085512872,-0.0017585279810472115,-0.003540695254841255
2024-08-11 06:14:23.836,266.40000000000003,0.0010737439410284763,0.00019175203569633792,-0.0013114610036427641,-0.0006900460222178482,-0.0017586032037914241,-0.003540377302614825
2024-08-11 06:14:23.855,273.6,0.0010747636058343751,0.00019256908276872316,-0.0013108661828237262,-0.0006901820815642772,-0.0017588558805909638,-0.003540496174579223
2024-08-11 06:14:23.884,280.8,0.0009984329444483397,0.00011652723416436125,-0.0013870704977062202,-0.0006900650028309086,-0.0016832398715587147,-0.0034653097889372235
2024-08-11 06:14:23.916,288.0,0.0010749518882069466,0.0001929023170632615,-0.0013107633032129289,-0.0006903909773802706,-0.001683638300797468,-0.003465330598790023
2024-08-11 06:14:23.957,295.2,0.0009983388931155785,0.00011633223114895482,-0.0013871207372681165,-0.000689929402725804,-0.0016829879065210131,-0.0034651916162926144
2024-08-11 06:14:23.982,302.40000000000003,0.0010739055720417278,0.0001922966907929786,-0.0013113851117389338,-0.0006903445563035964,-0.0016843182820230754,-0.003466261499719445
2024-08-11 06:14:24.008,309.6,0.0009994392366789314,0.00011761761191016575,-0.00138649199281367,-0.0006905664246917799,-0.0017608396446670458,-0.003542439422163388
2024-08-11 06:14:24.035,316.8,0.0009981302461204468,0.00011624096835181918,-0.0013872456628807827,-0.0006901293544887186,-0.001683565888826159,-0.0034656277194987043
2024-08-11 06:14:24.055,324.0,0.001074347158429618,0.00019229799016384015,-0.0013111116086524353,-0.0006899068750792269,-0.0016832709113756602,-0.0034655844726659358
2024-08-11 06:14:24.139,331.2,0.0009965036756644575,0.000114793043684737,-0.0013881899937018063,-0.0006901843863087404,-0.0016834029262767613,-0.0034653391607186155
2024-08-11 06:14:24.159,338.40000000000003,0.0009961121388111945,0.00011434942775752095,-0.0013884120261361524,-0.000689977835077345,-0.001759597256875896,-0.0035417401136422205
2024-08-11 06:14:24.186,345.6,0.0010734428989302785,0.00019144307734314113,-0.0013116335710019991,-0.0006896902405590878,-0.0016826613094069718,-0.0034651325432167304
2024-08-11 06:14:24.274,352.8,0.0009942801334969604,0.0001127404409154121,-0.0013894747484074594,-0.000689657736754718,-0.001682454480803015,-0.0034649180416365796
